n_jobs = 1, time is: 2.3625712690009095
n_jobs = 2, time is: 1.2253642020004918
n_jobs = 3, time is: 0.819014311000501
n_jobs = 4, time is: 0.6926374340000621
n_jobs = 5, time is: 0.8771067830020911
n_jobs = 6, time is: 0.7288327440001012
n_jobs = 7, time is: 0.7564193329999398
n_jobs = 8, time is: 0.7756125809974037
n_jobs = 9, time is: 0.8200558309981716
n_jobs = 10, time is: 0.8293597470001259
n_jobs = 11, time is: 0.7876267470019229
n_jobs = 12, time is: 0.7781581710005412
n_jobs = 13, time is: 0.8028603720013052
n_jobs = 14, time is: 0.9429041260009399
n_jobs = 15, time is: 0.9842532280017622
n_jobs = 16, time is: 1.000930612000957
