n_jobs = 1, time is: 2.3296225369995227
n_jobs = 2, time is: 2.359648601999652
n_jobs = 3, time is: 2.3501405110000633
n_jobs = 4, time is: 2.3602933949987346
n_jobs = 5, time is: 2.3795659679999517
n_jobs = 6, time is: 2.3793575700001384
n_jobs = 7, time is: 2.3417702639999334
n_jobs = 8, time is: 2.9021798399990075
n_jobs = 9, time is: 2.5204261660001066
n_jobs = 10, time is: 2.772285983999609
n_jobs = 11, time is: 2.330832573999942
n_jobs = 12, time is: 2.512681951000559
n_jobs = 13, time is: 2.3729809319993365
n_jobs = 14, time is: 2.4749042529983853
n_jobs = 15, time is: 2.379956618999131
n_jobs = 16, time is: 2.6738313429996197
n_jobs = 17, time is: 2.379853627000557
n_jobs = 18, time is: 2.373724648001371
n_jobs = 19, time is: 2.469833944000129
n_jobs = 20, time is: 2.494657990999258
n_jobs = 21, time is: 2.3683677759981947
n_jobs = 22, time is: 2.4670928589985124
n_jobs = 23, time is: 2.506238673999178
n_jobs = 24, time is: 2.351696337998874
n_jobs = 25, time is: 2.4308122869988438
n_jobs = 26, time is: 2.389455911998084
n_jobs = 27, time is: 2.3674647909974738
n_jobs = 28, time is: 2.496656899998925
n_jobs = 29, time is: 2.408022781000909
n_jobs = 30, time is: 2.4591484789998503
n_jobs = 31, time is: 2.50324038799954
n_jobs = 32, time is: 2.4439223160006804
